,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
wewelsfleth schleswig-holstein,3.2236212387363867,0.11802031357470925,-0.5375724283433517,-0.011136393775857602,0.06604486470012291,0.9114642030395775,0.0627900514777514,0.0,0.06607503246661003,0.06249735226367376,0.06607503246661003,0.055081248409355514,0.11729808593421956,0.0,wewelsfleth schleswig-holstein
Wischhafen,3.2035147104759227,0.1242770954484278,-0.5313156464696334,-0.004879611902138956,0.07230164657384146,0.8901943151165066,0.06904683335146984,0.0,0.07233181434032869,0.06875413413739222,0.07233181434032869,0.061338030283073885,0.12355486780793819,0.0,Wischhafen
schleswig-holstein wisch+hafen,3.2035147104759227,0.1242770954484278,-0.5313156464696334,-0.004879611902138956,0.07230164657384146,0.8901943151165066,0.06904683335146984,0.0,0.07233181434032869,0.06875413413739222,0.07233181434032869,0.061338030283073885,0.12355486780793819,0.0,schleswig-holstein wisch+hafen
Niedersachsen,3.192588250822034,0.1276936978229896,-0.5278990440950714,-0.0014630095275769642,0.07571824894840336,0.8783281683987662,0.07246343572603188,0.0,0.07574841671489065,0.07217073651195417,0.07574841671489065,0.06475463265763594,0.1269714701825001,0.0,Niedersachsen
wisch+hafen niedersachsen,3.192588250822034,0.1276936978229896,-0.5278990440950714,-0.0014630095275769642,0.07571824894840336,0.8783281683987662,0.07246343572603188,0.0,0.07574841671489065,0.07217073651195417,0.07574841671489065,0.06475463265763594,0.1269714701825001,0.0,wisch+hafen niedersachsen
Suedlink-Tunnel,3.177065665910381,0.13256762530571636,-0.5230251166123446,0.003410917955149704,0.0805921764311302,0.8610811578101556,0.07733736320875856,0.0,0.0806223441976173,0.07704466399468088,0.0806223441976173,0.06962856014036266,0.13184539766522682,0.0,Suedlink-Tunnel
niedersachsen suedlink-tunnel,3.177065665910381,0.13256762530571636,-0.5230251166123446,0.003410917955149704,0.0805921764311302,0.8610811578101556,0.07733736320875856,0.0,0.0806223441976173,0.07704466399468088,0.0806223441976173,0.06962856014036266,0.13184539766522682,0.0,niedersachsen suedlink-tunnel
Unte…,3.164425775407076,0.1365540399714684,-0.5190387019465926,0.007397332620901639,0.08457859109688214,0.8466860898926072,0.08132377787451056,0.0,0.08460875886336934,0.08103107866043281,0.08460875886336934,0.07361497480611448,0.13583181233097877,0.0,Unte…
suedlink-tunnel unte…,3.164425775407076,0.1365540399714684,-0.5190387019465926,0.007397332620901639,0.08457859109688214,0.8466860898926072,0.08132377787451056,0.0,0.08460875886336934,0.08103107866043281,0.08460875886336934,0.07361497480611448,0.13583181233097877,0.0,suedlink-tunnel unte…
+4762,3.1602885399225658,0.1378623160036634,-0.5177304259143977,0.00870560865309661,0.08588686712907696,0.8419036691982285,0.08263205390670546,0.0,0.08591703489556439,0.08233935469262783,0.08591703489556439,0.07492325083830959,0.13714008836317362,0.0,+4762
unte… +4762,3.1602885399225658,0.1378623160036634,-0.5177304259143977,0.00870560865309661,0.08588686712907696,0.8419036691982285,0.08263205390670546,0.0,0.08591703489556439,0.08233935469262783,0.08591703489556439,0.07492325083830959,0.13714008836317362,0.0,unte… +4762
+4762 char+s,3.156850259530499,0.13895087233928846,-0.5166418695787726,0.00979416498872172,0.08697542346470223,0.8379021279786273,0.08372061024233081,0.0,0.08700559123118967,0.08342791102825303,0.08700559123118967,0.07601180717393485,0.1382286446987989,0.0,+4762 char+s
Europas,11.501217603843967,0.0019522821141926313,0.003146863309522665,0.0026558914960290343,0.002171320493191886,0.008864720562611292,-0.01292832712242951,0.0,0.0022462926976489963,-0.010519289180604432,0.0022462926976489963,-0.025218664715467066,-0.0005567765783048234,0.0,Europas
batterie+speicher europa+s,3.23135232077143,0.11562492476003969,-0.5399678171580216,-0.01353178259052718,0.0636494758854533,0.9194545210210314,0.0603946626630819,0.0,0.0636796436519406,0.06010196344900419,0.0636796436519406,0.052685859594685844,0.11490269711954995,0.0,batterie+speicher europa+s
europa+s groß,3.239523989912577,0.1130992472187738,-0.5424934946992871,-0.016057460131792857,0.06112379834418767,0.927790412844211,0.057868985121816034,0.0,0.061153966110675015,0.05757628590773852,0.061153966110675015,0.050160182053420065,0.11237701957828418,0.0,europa+s groß
Batterie,3.2145179478071286,0.1208482415620392,-0.534744500356022,-0.00830846578852765,0.06887279268745297,0.9019231334883765,0.06561797946508136,0.0,0.06890296045394025,0.06532528025100363,0.06890296045394025,0.05790917639668531,0.12012601392154955,0.0,Batterie
groß batterie,3.2145179478071286,0.1208482415620392,-0.534744500356022,-0.00830846578852765,0.06887279268745297,0.9019231334883765,0.06561797946508136,0.0,0.06890296045394025,0.06532528025100363,0.06890296045394025,0.05790917639668531,0.12012601392154955,0.0,groß batterie
batterie geh+t,3.257374316578736,0.10760420304825165,-0.5479885388698095,-0.02155250430231508,0.05562875417366545,0.9456190464437747,0.05237394095129381,0.0,0.0556589219401527,0.05208124173721608,0.0556589219401527,0.044665137882897867,0.10688197540776212,0.0,batterie geh+t
